# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-siding_springs_mqu
# Data supplier: Department of Physics and Astronomy / Macquarie University
# Location name: Siding Springs/NSW/Australia - Siding Springs
# Position: -31.2749, 149.0685, 1165
# Local timezone: UTC+10
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 3474
# SQM firmware version: 38
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000038,00003474
# SQM readout test rx: r, 22.25m,0000000000Hz,0003715348c,0000008.063s, 034.4C
# SQM readout test cx: c,00000019.79m,0000089.409s, 026.1C,00000008.71m, 032.5C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2016-12-29T08:17:06.000;2016-12-29T18:17:06.000;42.98;0.000;585251.000;-0.000
2016-12-29T08:17:55.000;2016-12-29T18:17:55.000;42.92;0.000;585317.800;-0.000
2016-12-29T08:18:44.000;2016-12-29T18:18:44.000;42.68;0.000;585303.400;-0.000
2016-12-29T08:19:33.000;2016-12-29T18:19:33.000;42.62;0.000;585382.400;-0.000
2016-12-29T08:20:22.000;2016-12-29T18:20:22.000;42.56;0.000;578829.800;-0.000
2016-12-29T08:21:11.000;2016-12-29T18:21:11.000;42.38;0.000;569212.200;-0.000
2016-12-29T08:22:00.000;2016-12-29T18:22:00.000;42.20;0.000;560679.800;-0.000
2016-12-29T08:22:49.000;2016-12-29T18:22:49.000;42.20;0.000;550330.800;-0.000
2016-12-29T08:23:38.000;2016-12-29T18:23:38.000;42.08;0.000;540107.400;-0.000
2016-12-29T08:24:27.000;2016-12-29T18:24:27.000;41.90;0.000;530025.200;-0.000
2016-12-29T08:25:16.000;2016-12-29T18:25:16.000;41.96;0.000;521063.600;-0.000
2016-12-29T08:26:05.000;2016-12-29T18:26:05.000;41.82;0.000;513672.400;-0.000
2016-12-29T08:26:54.000;2016-12-29T18:26:54.000;41.66;0.000;506385.400;-0.000
2016-12-29T08:27:43.000;2016-12-29T18:27:43.000;41.50;0.000;498881.000;-0.000
2016-12-29T08:28:32.000;2016-12-29T18:28:32.000;41.50;0.000;493641.400;-0.000
2016-12-29T08:29:21.000;2016-12-29T18:29:21.000;41.32;0.000;489521.400;-0.000
2016-12-29T08:30:10.000;2016-12-29T18:30:10.000;41.20;0.000;485970.200;-0.000
2016-12-29T08:30:59.000;2016-12-29T18:30:59.000;41.14;0.000;482786.800;-0.000
2016-12-29T08:31:48.000;2016-12-29T18:31:48.000;41.08;0.000;479592.000;-0.000
2016-12-29T08:32:38.000;2016-12-29T18:32:38.000;40.90;0.000;475410.400;-0.000
2016-12-29T08:33:27.000;2016-12-29T18:33:27.000;40.90;0.000;470426.600;-0.000
2016-12-29T08:34:16.000;2016-12-29T18:34:16.000;40.84;0.000;464617.200;-0.000
2016-12-29T08:35:05.000;2016-12-29T18:35:05.000;40.72;0.000;458293.000;-0.000
2016-12-29T08:35:54.000;2016-12-29T18:35:54.000;40.60;0.000;451798.800;-0.000
2016-12-29T08:36:43.000;2016-12-29T18:36:43.000;40.60;0.000;445667.200;-0.000
2016-12-29T08:37:32.000;2016-12-29T18:37:32.000;40.60;0.000;439301.600;-0.000
2016-12-29T08:38:21.000;2016-12-29T18:38:21.000;40.44;0.000;432726.400;-0.000
2016-12-29T08:39:10.000;2016-12-29T18:39:10.000;40.20;0.000;426257.200;-0.000
2016-12-29T08:39:59.000;2016-12-29T18:39:59.000;40.20;0.000;419401.000;-0.000
2016-12-29T08:40:48.000;2016-12-29T18:40:48.000;40.20;0.000;412327.000;-0.000
2016-12-29T08:41:37.000;2016-12-29T18:41:37.000;40.14;0.000;404446.800;-0.000
2016-12-29T08:42:26.000;2016-12-29T18:42:26.000;40.20;0.000;396191.000;5.805
2016-12-29T08:43:15.000;2016-12-29T18:43:15.000;40.02;0.000;387082.600;5.828
2016-12-29T08:44:04.000;2016-12-29T18:44:04.000;39.90;0.000;376430.800;5.858
2016-12-29T08:44:53.000;2016-12-29T18:44:53.000;39.90;0.000;362943.600;5.898
2016-12-29T08:45:42.000;2016-12-29T18:45:42.000;39.90;0.000;348221.400;5.946
2016-12-29T08:46:31.000;2016-12-29T18:46:31.000;39.84;0.000;332909.200;5.996
2016-12-29T08:47:20.000;2016-12-29T18:47:20.000;39.72;0.000;318333.000;6.044
2016-12-29T08:48:09.000;2016-12-29T18:48:09.000;39.66;0.000;304461.800;6.092
2016-12-29T08:48:58.000;2016-12-29T18:48:58.000;39.66;0.000;292292.400;6.136
2016-12-29T08:49:48.000;2016-12-29T18:49:48.000;39.60;0.000;280816.200;6.178
2016-12-29T08:50:37.000;2016-12-29T18:50:37.000;39.54;0.000;269825.200;6.222
2016-12-29T08:51:26.000;2016-12-29T18:51:26.000;39.60;0.000;258362.800;6.268
2016-12-29T08:52:15.000;2016-12-29T18:52:15.000;39.54;0.000;247042.800;6.318
2016-12-29T08:53:04.000;2016-12-29T18:53:04.000;39.30;0.000;235458.200;6.368
2016-12-29T08:53:53.000;2016-12-29T18:53:53.000;39.30;0.000;224368.800;6.418
2016-12-29T08:54:42.000;2016-12-29T18:54:42.000;39.30;0.000;213458.200;6.474
2016-12-29T08:55:31.000;2016-12-29T18:55:31.000;39.30;0.000;202934.400;6.530
2016-12-29T08:56:20.000;2016-12-29T18:56:20.000;39.30;0.000;193148.800;6.582
2016-12-29T08:57:09.000;2016-12-29T18:57:09.000;39.12;0.000;183694.000;6.638
2016-12-29T08:57:58.000;2016-12-29T18:57:58.000;39.18;0.000;175414.600;6.688
2016-12-29T08:58:47.000;2016-12-29T18:58:47.000;39.06;0.000;167837.000;6.738
2016-12-29T08:59:36.000;2016-12-29T18:59:36.000;39.06;0.000;160632.000;6.784
2016-12-29T09:00:25.000;2016-12-29T19:00:25.000;39.00;0.000;152793.400;6.840
2016-12-29T09:01:14.000;2016-12-29T19:01:14.000;39.06;0.000;144570.600;6.902
2016-12-29T09:02:03.000;2016-12-29T19:02:03.000;39.00;0.000;136025.200;6.966
2016-12-29T09:02:52.000;2016-12-29T19:02:52.000;38.92;0.000;128093.200;7.030
2016-12-29T09:03:41.000;2016-12-29T19:03:41.000;38.84;0.000;120591.600;7.094
2016-12-29T09:04:30.000;2016-12-29T19:04:30.000;38.76;0.000;113659.200;7.160
2016-12-29T09:05:19.000;2016-12-29T19:05:19.000;38.68;0.000;106818.800;7.228
2016-12-29T09:06:13.000;2016-12-29T19:06:13.000;38.68;0.000;99634.000;7.300
2016-12-29T09:07:02.000;2016-12-29T19:07:02.000;38.68;0.000;93333.200;7.376
2016-12-29T09:07:51.000;2016-12-29T19:07:51.000;38.68;0.000;87250.000;7.448
2016-12-29T09:08:40.000;2016-12-29T19:08:40.000;38.62;0.000;81232.200;7.528
2016-12-29T09:09:29.000;2016-12-29T19:09:29.000;38.54;0.000;75564.000;7.604
2016-12-29T09:10:18.000;2016-12-29T19:10:18.000;38.54;0.000;69982.200;7.686
2016-12-29T09:11:07.000;2016-12-29T19:11:07.000;38.60;0.000;64753.200;7.770
2016-12-29T09:11:56.000;2016-12-29T19:11:56.000;38.48;0.000;59575.400;7.858
2016-12-29T09:12:45.000;2016-12-29T19:12:45.000;38.36;0.000;54661.000;7.955
2016-12-29T09:13:34.000;2016-12-29T19:13:34.000;38.36;0.000;50059.800;8.048
2016-12-29T09:14:23.000;2016-12-29T19:14:23.000;38.30;0.000;45518.800;8.149
2016-12-29T09:15:12.000;2016-12-29T19:15:12.000;38.30;0.000;41229.000;8.261
2016-12-29T09:16:01.000;2016-12-29T19:16:01.000;38.30;0.000;36906.800;8.381
2016-12-29T09:16:50.000;2016-12-29T19:16:50.000;38.30;0.000;32752.400;8.509
2016-12-29T09:17:39.000;2016-12-29T19:17:39.000;38.30;0.000;28665.800;8.655
2016-12-29T09:18:28.000;2016-12-29T19:18:28.000;38.30;0.000;24982.000;8.803
2016-12-29T09:19:17.000;2016-12-29T19:19:17.000;38.30;0.000;21586.600;8.965
2016-12-29T09:20:06.000;2016-12-29T19:20:06.000;38.30;0.000;18639.600;9.125
2016-12-29T09:20:55.000;2016-12-29T19:20:55.000;38.30;0.000;15981.000;9.287
2016-12-29T09:21:44.000;2016-12-29T19:21:44.000;38.24;0.000;13709.000;9.455
2016-12-29T09:22:33.000;2016-12-29T19:22:33.000;38.18;0.000;11692.400;9.627
2016-12-29T09:23:23.000;2016-12-29T19:23:23.000;38.06;0.000;9999.600;9.798
2016-12-29T09:24:12.000;2016-12-29T19:24:12.000;38.06;0.000;8514.000;9.974
2016-12-29T09:25:01.000;2016-12-29T19:25:01.000;38.06;0.000;7268.200;10.142
2016-12-29T09:25:50.000;2016-12-29T19:25:50.000;38.00;0.000;6174.000;10.320
2016-12-29T09:26:39.000;2016-12-29T19:26:39.000;38.00;0.000;5259.200;10.496
2016-12-29T09:27:28.000;2016-12-29T19:27:28.000;38.00;0.000;4462.400;10.678
2016-12-29T09:28:17.000;2016-12-29T19:28:17.000;38.00;0.000;3796.200;10.848
2016-12-29T09:29:06.000;2016-12-29T19:29:06.000;38.00;0.000;3221.000;11.027
2016-12-29T09:29:55.000;2016-12-29T19:29:55.000;38.00;0.000;2732.400;11.208
2016-12-29T09:30:44.000;2016-12-29T19:30:44.000;38.00;0.000;2325.000;11.385
2016-12-29T09:31:33.000;2016-12-29T19:31:33.000;38.00;0.000;1968.800;11.560
2016-12-29T09:32:22.000;2016-12-29T19:32:22.000;38.00;0.000;1671.600;11.740
2016-12-29T09:33:11.000;2016-12-29T19:33:11.000;38.00;0.000;1411.000;11.924
2016-12-29T09:34:00.000;2016-12-29T19:34:00.000;38.00;0.000;1193.400;12.108
2016-12-29T09:34:49.000;2016-12-29T19:34:49.000;37.94;0.000;1003.200;12.292
2016-12-29T09:35:38.000;2016-12-29T19:35:38.000;37.88;0.000;845.400;12.484
2016-12-29T09:36:27.000;2016-12-29T19:36:27.000;37.94;0.000;707.000;12.672
2016-12-29T09:37:16.000;2016-12-29T19:37:16.000;37.94;0.000;592.000;12.870
2016-12-29T09:38:05.000;2016-12-29T19:38:05.000;37.82;0.000;492.400;13.066
2016-12-29T09:38:54.000;2016-12-29T19:38:54.000;37.88;0.000;410.800;13.262
2016-12-29T09:39:44.000;2016-12-29T19:39:44.000;37.88;0.000;339.800;13.470
2016-12-29T09:40:33.000;2016-12-29T19:40:33.000;38.00;0.000;281.800;13.676
2016-12-29T09:41:22.000;2016-12-29T19:41:22.000;37.94;0.000;232.000;13.882
2016-12-29T09:42:11.000;2016-12-29T19:42:11.000;37.82;0.000;192.200;14.082
2016-12-29T09:43:00.000;2016-12-29T19:43:00.000;37.88;0.000;158.200;14.300
2016-12-29T09:43:49.000;2016-12-29T19:43:49.000;37.76;0.000;130.400;14.506
2016-12-29T09:44:38.000;2016-12-29T19:44:38.000;37.70;4357.800;107.400;14.724
2016-12-29T09:45:27.000;2016-12-29T19:45:27.000;37.70;5247.200;89.000;14.923
2016-12-29T09:46:16.000;2016-12-29T19:46:16.000;37.70;6315.400;73.800;15.130
2016-12-29T09:47:05.000;2016-12-29T19:47:05.000;37.70;7431.800;61.000;15.304
2016-12-29T09:47:54.000;2016-12-29T19:47:54.000;37.70;8945.600;50.800;15.502
2016-12-29T09:48:43.000;2016-12-29T19:48:43.000;37.70;10943.600;42.800;15.726
2016-12-29T09:49:32.000;2016-12-29T19:49:32.000;37.70;12969.600;36.400;15.911
2016-12-29T09:50:21.000;2016-12-29T19:50:21.000;37.70;15256.800;30.914;16.086
2016-12-29T09:51:10.000;2016-12-29T19:51:10.000;37.70;17842.200;25.819;16.255
2016-12-29T09:51:59.000;2016-12-29T19:51:59.000;37.70;21053.600;21.988;16.436
2016-12-29T09:52:48.000;2016-12-29T19:52:48.000;37.70;24317.600;18.965;16.597
2016-12-29T09:53:37.000;2016-12-29T19:53:37.000;37.70;28130.000;16.447;16.752
2016-12-29T09:54:26.000;2016-12-29T19:54:26.000;37.70;32292.200;14.282;16.901
2016-12-29T09:55:20.000;2016-12-29T19:55:20.000;37.70;37976.800;12.155;17.075
2016-12-29T09:56:08.000;2016-12-29T19:56:08.000;37.70;43251.400;10.681;17.219
2016-12-29T09:56:58.000;2016-12-29T19:56:58.000;37.70;49311.000;9.361;17.367
2016-12-29T09:57:47.000;2016-12-29T19:57:47.000;37.70;56254.600;8.199;17.513
2016-12-29T09:58:36.000;2016-12-29T19:58:36.000;37.70;63811.000;7.225;17.651
2016-12-29T09:59:25.000;2016-12-29T19:59:25.000;37.70;72712.800;6.349;17.793
2016-12-29T10:00:14.000;2016-12-29T20:00:14.000;37.70;82069.400;5.627;17.921
2016-12-29T10:01:03.000;2016-12-29T20:01:03.000;37.70;92933.800;4.968;18.059
2016-12-29T10:01:52.000;2016-12-29T20:01:52.000;37.70;104804.000;4.401;18.191
2016-12-29T10:02:41.000;2016-12-29T20:02:41.000;37.70;117793.600;3.919;18.319
2016-12-29T10:03:30.000;2016-12-29T20:03:30.000;37.70;132810.000;3.475;18.445
2016-12-29T10:04:19.000;2016-12-29T20:04:19.000;37.70;149266.200;3.093;18.573
2016-12-29T10:05:08.000;2016-12-29T20:05:08.000;37.70;167448.000;2.758;18.697
2016-12-29T10:05:57.000;2016-12-29T20:05:57.000;37.70;188394.600;2.451;18.833
2016-12-29T10:06:46.000;2016-12-29T20:06:46.000;37.70;211470.400;2.183;18.955
2016-12-29T10:07:35.000;2016-12-29T20:07:35.000;37.70;236137.400;1.954;19.079
2016-12-29T10:08:24.000;2016-12-29T20:08:24.000;37.70;262546.400;1.758;19.193
2016-12-29T10:09:13.000;2016-12-29T20:09:13.000;37.70;290355.800;1.588;19.295
2016-12-29T10:10:02.000;2016-12-29T20:10:02.000;37.70;318765.000;1.447;19.405
2016-12-29T10:10:51.000;2016-12-29T20:10:51.000;37.70;347403.000;1.327;19.500
2016-12-29T10:11:40.000;2016-12-29T20:11:40.000;37.70;376874.800;1.224;19.594
2016-12-29T10:12:29.000;2016-12-29T20:12:29.000;37.70;407836.600;1.131;19.680
2016-12-29T10:13:18.000;2016-12-29T20:13:18.000;37.70;440261.000;1.047;19.762
2016-12-29T10:14:08.000;2016-12-29T20:14:08.000;37.70;475041.200;0.971;19.848
2016-12-29T10:14:57.000;2016-12-29T20:14:57.000;37.70;514388.600;0.897;19.936
2016-12-29T10:15:46.000;2016-12-29T20:15:46.000;37.70;559331.200;0.825;20.029
2016-12-29T10:16:35.000;2016-12-29T20:16:35.000;37.70;612178.000;0.753;20.131
2016-12-29T10:17:24.000;2016-12-29T20:17:24.000;37.70;674877.600;0.683;20.237
2016-12-29T10:18:13.000;2016-12-29T20:18:13.000;37.70;748333.400;0.616;20.357
2016-12-29T10:19:02.000;2016-12-29T20:19:02.000;37.70;829325.000;0.556;20.469
2016-12-29T10:19:51.000;2016-12-29T20:19:51.000;37.62;921212.600;0.501;20.591
2016-12-29T10:20:40.000;2016-12-29T20:20:40.000;37.62;1019407.800;0.452;20.705
2016-12-29T10:21:29.000;2016-12-29T20:21:29.000;37.62;1124922.000;0.410;20.817
2016-12-29T10:22:18.000;2016-12-29T20:22:18.000;37.62;1239317.800;0.372;20.927
2016-12-29T10:23:07.000;2016-12-29T20:23:07.000;37.62;1354678.800;0.340;21.027
2016-12-29T10:23:56.000;2016-12-29T20:23:56.000;37.62;1475835.200;0.312;21.128
2016-12-29T10:24:45.000;2016-12-29T20:24:45.000;37.46;1601758.800;0.288;21.223
2016-12-29T10:25:34.000;2016-12-29T20:25:34.000;37.70;1742390.000;0.265;21.321
2016-12-29T10:26:23.000;2016-12-29T20:26:23.000;37.46;1890724.800;0.244;21.420
2016-12-29T10:27:12.000;2016-12-29T20:27:12.000;37.46;2036230.800;0.226;21.510
2016-12-29T10:28:01.000;2016-12-29T20:28:01.000;37.46;2181017.800;0.211;21.590
2016-12-29T10:28:50.000;2016-12-29T20:28:50.000;37.46;2324263.400;0.198;21.664
2016-12-29T10:29:39.000;2016-12-29T20:29:39.000;37.38;2466467.200;0.187;21.740
2016-12-29T10:30:29.000;2016-12-29T20:30:29.000;37.54;2610424.600;0.177;21.810
2016-12-29T10:31:18.000;2016-12-29T20:31:18.000;37.46;2747611.800;0.168;21.872
2016-12-29T10:32:07.000;2016-12-29T20:32:07.000;37.38;2869321.800;0.161;21.930
2016-12-29T10:32:56.000;2016-12-29T20:32:56.000;37.46;2992325.000;0.154;21.982
2016-12-29T10:33:45.000;2016-12-29T20:33:45.000;37.62;3103690.800;0.148;22.026
2016-12-29T10:34:34.000;2016-12-29T20:34:34.000;37.46;3201732.400;0.144;22.068
2016-12-29T10:35:23.000;2016-12-29T20:35:23.000;37.54;3300376.800;0.140;22.104
2016-12-29T10:36:12.000;2016-12-29T20:36:12.000;37.54;3382336.000;0.136;22.132
2016-12-29T10:37:01.000;2016-12-29T20:37:01.000;37.54;3458168.800;0.133;22.164
2016-12-29T10:37:50.000;2016-12-29T20:37:50.000;37.70;3523309.000;0.131;22.184
2016-12-29T10:38:39.000;2016-12-29T20:38:39.000;37.46;3587318.600;0.128;22.210
2016-12-29T10:39:28.000;2016-12-29T20:39:28.000;37.54;3661445.800;0.126;22.236
2016-12-29T10:40:17.000;2016-12-29T20:40:17.000;37.46;3717783.000;0.124;22.258
2016-12-29T10:41:06.000;2016-12-29T20:41:06.000;37.38;3768778.400;0.122;22.276
2016-12-29T10:41:55.000;2016-12-29T20:41:55.000;37.54;3814532.000;0.121;22.288
2016-12-29T10:42:44.000;2016-12-29T20:42:44.000;37.46;3852706.400;0.120;22.308
2016-12-29T10:43:33.000;2016-12-29T20:43:33.000;37.46;3892944.600;0.118;22.320
2016-12-29T10:44:27.000;2016-12-29T20:44:27.000;37.38;3939679.600;0.117;22.334
2016-12-29T10:45:15.000;2016-12-29T20:45:15.000;37.54;3964421.800;0.116;22.342
2016-12-29T10:46:04.000;2016-12-29T20:46:04.000;37.38;3992734.600;0.115;22.354
2016-12-29T10:46:53.000;2016-12-29T20:46:53.000;37.38;4021752.800;0.115;22.362
2016-12-29T10:47:43.000;2016-12-29T20:47:43.000;37.54;4046386.000;0.114;22.370
2016-12-29T10:48:32.000;2016-12-29T20:48:32.000;37.30;4069041.400;0.113;22.370
2016-12-29T10:49:21.000;2016-12-29T20:49:21.000;37.30;4083822.400;0.113;22.376
2016-12-29T10:50:10.000;2016-12-29T20:50:10.000;37.30;4102861.200;0.112;22.388
2016-12-29T10:50:59.000;2016-12-29T20:50:59.000;37.30;4116221.600;0.112;22.390
2016-12-29T10:51:48.000;2016-12-29T20:51:48.000;37.30;4130939.400;0.112;22.398
2016-12-29T10:52:37.000;2016-12-29T20:52:37.000;37.30;4131402.000;0.112;22.398
2016-12-29T10:53:26.000;2016-12-29T20:53:26.000;37.30;4137318.000;0.111;22.400
2016-12-29T10:54:15.000;2016-12-29T20:54:15.000;37.30;4143278.800;0.111;22.400
2016-12-29T10:55:04.000;2016-12-29T20:55:04.000;37.30;4150691.200;0.111;22.400
2016-12-29T10:55:53.000;2016-12-29T20:55:53.000;37.30;4160610.000;0.111;22.406
2016-12-29T10:56:42.000;2016-12-29T20:56:42.000;37.30;4165552.200;0.111;22.410
2016-12-29T10:57:31.000;2016-12-29T20:57:31.000;37.30;4171141.400;0.110;22.410
2016-12-29T10:58:20.000;2016-12-29T20:58:20.000;37.30;4170161.000;0.110;22.410
2016-12-29T10:59:09.000;2016-12-29T20:59:09.000;37.30;4172895.400;0.110;22.410
2016-12-29T10:59:58.000;2016-12-29T20:59:58.000;37.30;4183200.400;0.110;22.410
2016-12-29T11:00:47.000;2016-12-29T21:00:47.000;37.30;4190412.200;0.110;22.412
2016-12-29T11:01:36.000;2016-12-29T21:01:36.000;37.30;4195277.600;0.110;22.416
2016-12-29T11:02:25.000;2016-12-29T21:02:25.000;37.30;4205782.400;0.110;22.420
2016-12-29T11:03:14.000;2016-12-29T21:03:14.000;37.30;4208225.400;0.110;22.420
2016-12-29T11:04:04.000;2016-12-29T21:04:04.000;37.30;4212384.400;0.109;22.420
2016-12-29T11:04:53.000;2016-12-29T21:04:53.000;37.30;4212861.600;0.109;22.420
2016-12-29T11:05:42.000;2016-12-29T21:05:42.000;37.30;4212591.400;0.109;22.420
2016-12-29T11:06:31.000;2016-12-29T21:06:31.000;37.30;4213555.200;0.109;22.420
